videogame_genreid,videogameid,genre_name
4500,1231,"2D Plattom"
4501,1232,Racing
4502,1233,Adventure
4503,1234,Role-Playing
4504,1235,Role-Playing
4505,1236,"Battle Royale"
4506,1237,Plaform
4507,1238,Strategy
4508,1239,Platform
4509,1240,Strategy
