artists_id,artistsname,dateofbirth,country
7842,"The White Stripes",NULL,USA
7843,Stromae,1985-03-12,FRA
7844,"Depeche Mode",1964-02-20,GBR
7845,"Kenya Grace",NULL,GBR
7846,"Christian Nodal",1999-01-11,MEX
7847,Ado,2002-10-24,JPN
7848,"Jay Chou",1979-01-18,TWN
7850,"David Kushner",2000-09-06,USA
7851,Harihana,1879-03-08,IND
7852,Tyla,2002-01-30,ZAF
