pulisher_id,first_name,last_name,country,city,language
2001,Fusajiro,Yamauchi,JPN,Kyoto,Japanese
2003,Yukio,Sugino,JPN,NULL,Japanese
2004,Christian,Guillemot,FRA,NULL,French
2005,Jim,"Yang ",CHN,Shanghai,Chinese
2006,Roby,John,IND,NULL,Hindi
2008,Tim,Ansell,GBR,Horsham,English
2009,Travis,Bulford,ZAF,Johannesburg,English
2010,Martin,Bromley,JPN,Tokyo,Japanese
