directorid,first_name,last_name,country
1,Brad,Bird,USA
2,George,Lucas,USA
3,Audrey,Diwan,FRA
4,Boyapati,Srinu,IND
5,Tomasz,Baginaski,POL
6,Adele,Lim,MYS
7,Terry,Jones,GBR
8,Josh Manuel,Cravioto,MEX
9,Oliver,Hermanus,ZAF
10,Romain,Gavras,FRA
